round,ticket,hits,total,hit_rate,draw_count,sway_count,role_family,role_mode,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,cluster_changes,basis_changes
round15,ticket10,5,13,0.3846153846153846,5,3,swing,none,0,1,2,2,1,1,1,4,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round16,ticket02,4,13,0.3076923076923077,6,1,draw,none,1,0,0,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket03,4,13,0.3076923076923077,7,2,swing,none,2,0,0,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket05,5,13,0.3846153846153846,7,0,draw,none,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket06,5,13,0.3846153846153846,7,0,draw,skip,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket07,8,13,0.6153846153846154,4,3,swing,none,2,1,0,3,0,3,2,6,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round16,ticket08,5,13,0.3846153846153846,7,0,draw,none,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket09,5,13,0.3846153846153846,7,0,draw,none,0,0,0,0,0,0,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round16,ticket10,5,13,0.3846153846153846,6,3,swing,none,2,1,0,1,1,0,0,5,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=1 trap=0 split=0 balanced=0
round17,ticket02,3,12,0.25,3,2,draw,none,0,2,0,1,0,1,0,3,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket03,3,12,0.25,3,2,swing,none,1,0,1,1,0,1,1,2,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket05,3,12,0.25,5,2,draw,none,0,2,0,1,0,1,0,3,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket06,2,12,0.1666666666666666,4,1,draw,skip,0,0,1,0,0,0,0,2,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket07,2,12,0.1666666666666666,5,2,swing,none,1,1,0,1,1,0,0,2,balanced,12,12,12,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round17,ticket08,3,12,0.25,4,2,draw,none,0,0,2,1,0,1,1,2,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket09,4,12,0.3333333333333333,5,2,draw,none,0,2,0,2,0,2,0,4,balanced,12,12,12,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round17,ticket10,2,12,0.1666666666666666,5,2,swing,none,1,1,0,1,1,0,0,2,balanced,12,12,12,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
