test_round,train_round_min,train_round_max,draw_boost,temperature,home_shift,train_N,train_logloss,train_brier,train_accuracy,objective
7,1,6,1.06,1.0,-0.01,137,1.1029835711784561,0.6717492294887287,0.31386861313868614,1.2709208785506383
7,1,6,1.08,1.0,-0.01,137,1.1029908810734694,0.6717536797591698,0.31386861313868614,1.2709293010132618
7,1,6,1.04,1.0,-0.01,137,1.1030590103525093,0.6718010372800685,0.29927007299270075,1.2710092696725264
7,1,6,1.1,1.0,-0.01,137,1.1030768175243906,0.671812122488915,0.32116788321167883,1.2710298481466193
7,1,6,1.02,1.0,-0.01,137,1.1032215853237866,0.6719114644934883,0.2773722627737226,1.2711994514471585
7,1,6,1.0,1.0,-0.01,137,1.1034759686589255,0.6720829727938252,0.26277372262773724,1.271496711857382
7,1,6,1.06,0.95,-0.01,137,1.103728811124024,0.6724576623022723,0.31386861313868614,1.271843226699592
7,1,6,1.08,0.95,-0.01,137,1.1037686097011923,0.6724829321822696,0.31386861313868614,1.2718893427467597
7,1,6,1.04,0.95,-0.01,137,1.1037802287775758,0.672494536418825,0.29927007299270075,1.271903862882282
7,1,6,1.1,0.95,-0.01,137,1.1038950893703654,0.6725678724976291,0.32116788321167883,1.2720370574947726
7,1,6,1.02,0.95,-0.01,137,1.103927686124755,0.6725961263861517,0.2773722627737226,1.2720767177212928
7,1,6,1.0,0.95,-0.01,137,1.1041763183546136,0.6727651064322631,0.26277372262773724,1.2723675949626794
7,1,6,1.08,1.1,-0.02,137,1.1051776381676781,0.6727754356702919,0.30656934306569344,1.273371497085251
7,1,6,1.1,1.1,-0.02,137,1.1052020516559062,0.6727786340789748,0.32116788321167883,1.2733967101756498
7,1,6,1.06,1.1,-0.02,137,1.1052188826904683,0.6728173413210052,0.26277372262773724,1.2734232180207197
7,1,6,1.04,1.1,-0.02,137,1.105329239570287,0.6729062810962712,0.25547445255474455,1.2735558098443547
7,1,6,1.02,1.1,-0.02,137,1.1055123874223471,0.6730442744617231,0.26277372262773724,1.273773456037778
7,1,6,1.0,1.1,-0.02,137,1.1057722477288374,0.6732334352829608,0.2846715328467153,1.2740806065495776
7,1,6,1.08,1.05,-0.02,137,1.1059182926532545,0.6734210300600574,0.30656934306569344,1.2742735501682687
7,1,6,1.06,1.05,-0.02,137,1.1059375713921529,0.6734503727727941,0.26277372262773724,1.2743001645853513
7,1,6,1.1,1.05,-0.02,137,1.1059706980597621,0.6734410454582249,0.32116788321167883,1.2743309594243184
7,1,6,1.04,1.05,-0.02,137,1.106032299735184,0.6735311635787611,0.25547445255474455,1.2744150906298741
7,1,6,1.02,1.05,-0.02,137,1.1062064861501189,0.6736655852950106,0.26277372262773724,1.2746228824738715
7,1,6,1.0,1.05,-0.02,137,1.1064644021430128,0.6738559184144716,0.2846715328467153,1.2749283817466306
7,1,6,1.06,1.0,-0.02,137,1.1067692343003217,0.6741790823826912,0.26277372262773724,1.2753140048959946
7,1,6,1.08,1.0,-0.02,137,1.106776544195335,0.6741649826280742,0.30656934306569344,1.2753177898523536
7,1,6,1.04,1.0,-0.02,137,1.1068446734743749,0.6742497218755102,0.25547445255474455,1.2754071039432524
7,1,6,1.1,1.0,-0.02,137,1.1068624806462564,0.6742051508146448,0.32116788321167883,1.2754137683499176
7,1,6,1.02,1.0,-0.02,137,1.1070072484456523,0.6743792688468974,0.26277372262773724,1.2756020656573768
7,1,6,1.0,1.0,-0.02,137,1.1072616317807915,0.6745701915342407,0.2846715328467153,1.2759041796643518
7,1,6,1.06,0.95,-0.02,137,1.107738263929257,0.6750232714367336,0.26277372262773724,1.2764940817884405
7,1,6,1.08,0.95,-0.02,137,1.1077779049010723,0.675027743010174,0.30656934306569344,1.2765348406536159
7,1,6,1.04,0.95,-0.02,137,1.1077898410936438,0.6750812545526164,0.25547445255474455,1.276560154731798
7,1,6,1.1,0.95,-0.02,137,1.1079042288391556,0.6750921894248805,0.32116788321167883,1.2766772761953757
7,1,6,1.02,0.95,-0.02,137,1.1079374598889336,0.6752042706539938,0.26277372262773724,1.276738527552432
7,1,6,1.0,0.95,-0.02,137,1.108186255536555,0.6753950005695672,0.2846715328467153,1.2770350056789468
