節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１６節第２日,j1_2026_05101400_清水_福岡,2026-05-10 14:00:00,清水,福岡,,,1.0,True,0.463,0.244,0.293,D,,False,D
第１６節第２日,j1_2026_05101700_千葉_町田,2026-05-10 17:00:00,千葉,町田,,,-2.5,False,0.113,0.197,0.69,A,,False,A
第１６節第２日,j1_2026_05101600_柏_川崎Ｆ,2026-05-10 16:00:00,柏,川崎Ｆ,,,-1.0,False,0.129,0.203,0.668,A,,False,A
第１６節第２日,j1_2026_05101500_FC東京_東京Ｖ,2026-05-10 15:00:00,FC東京,東京Ｖ,,,-2.0,False,0.129,0.203,0.668,A,,False,A
第１６節第２日,j1_2026_05101400_横浜FM_鹿島,2026-05-10 14:00:00,横浜FM,鹿島,,,-1.0,False,0.114,0.197,0.689,A,,False,A
第１６節第１日,j1_2026_05091600_Ｃ大阪_長崎,2026-05-09 16:00:00,Ｃ大阪,長崎,,,1.0,True,0.696,0.195,0.109,H,,False,H
第１７節第１日,j1_2026_05171600_Ｇ大阪_福岡,2026-05-17 16:00:00,Ｇ大阪,福岡,,,1.0,True,0.602,0.218,0.18,H,,False,H
第１７節第１日,j1_2026_05171500_Ｃ大阪_名古屋,2026-05-17 15:00:00,Ｃ大阪,名古屋,,,0.0,False,0.359,0.258,0.384,D,,False,D
第１７節第１日,j1_2026_05171500_京都_広島,2026-05-17 15:00:00,京都,広島,,,-2.0,False,0.185,0.219,0.595,A,,False,A
第１７節第１日,j1_2026_05171400_岡山_清水,2026-05-17 14:00:00,岡山,清水,,,0.0,False,0.507,0.236,0.257,H,,False,H
第１７節第１日,j1_2026_05171300_長崎_神戸,2026-05-17 13:00:00,長崎,神戸,,,-1.0,False,0.108,0.195,0.697,A,,False,A
第１７節第２日,j1_2026_05171900_川崎Ｆ_町田,2026-05-17 19:00:00,川崎Ｆ,町田,,,0.0,False,0.364,0.259,0.377,A,,False,A
第１７節第２日,j1_2026_05171400_千葉_鹿島,2026-05-17 14:00:00,千葉,鹿島,,,-0.5,False,0.183,0.219,0.598,A,,False,A
第１７節第１日,j1_2026_05161700_横浜FM_柏,2026-05-16 17:00:00,横浜FM,柏,,,0.0,False,0.354,0.257,0.389,D,,False,D
第１７節第１日,j1_2026_05161600_浦和_FC東京,2026-05-16 16:00:00,浦和,FC東京,,,0.0,False,0.496,0.238,0.265,H,,False,H
第１７節第１日,j1_2026_05161400_水戸_東京Ｖ,2026-05-16 14:00:00,水戸,東京Ｖ,,,-3.0,False,0.078,0.182,0.741,A,,False,A
第１８節第２日,j1_2026_05241700_清水_Ｇ大阪,2026-05-24 17:00:00,清水,Ｇ大阪,,,0.0,False,0.241,0.233,0.527,A,,False,A
第１８節第２日,j1_2026_05241255_岡山_Ｃ大阪,2026-05-24 12:55:00,岡山,Ｃ大阪,,,-3.0,False,0.157,0.212,0.632,A,,False,A
