節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,prob_home_win_adj,prob_draw_adj,prob_away_win_adj
第９節第２日,j1_2025_04061503_湘南_名古屋,2025-04-06 15:03:00,湘南,名古屋,2,1,0.3685,True,0.312,0.406,0.282,H,H,True,H,0.318633,0.4093165,0.2720505
第１０節第１日,j1_2025_04111903_FC東京_柏,2025-04-11 19:03:00,FC東京,柏,1,1,-0.3158,False,0.274,0.422,0.303,A,D,False,A,0.2685898742742743,0.4195802224224223,0.3118299033033033
第１０節第２日,j1_2025_04121403_Ｇ大阪_名古屋,2025-04-12 14:03:00,Ｇ大阪,名古屋,2,0,1.2106,True,0.327,0.418,0.255,H,H,True,H,0.3487908,0.4288954,0.2223138
第１０節第２日,j1_2025_04121403_清水_川崎Ｆ,2025-04-12 14:03:00,清水,川崎Ｆ,1,1,-0.1053,False,0.278,0.427,0.295,A,D,False,A,0.27610460000000003,0.4260523,0.29784309999999997
第１０節第２日,j1_2025_04121403_広島_岡山,2025-04-12 14:03:00,広島,岡山,0,1,0.7369,True,0.385,0.413,0.202,H,A,False,H,0.39826420000000007,0.4196321,0.18210370000000003
第１０節第２日,j1_2025_04121403_福岡_横浜FM,2025-04-12 14:03:00,福岡,横浜FM,2,1,0.579,True,0.345,0.406,0.248,H,H,True,H,0.3557673453453453,0.4116174064064065,0.23261524824824825
第１０節第２日,j1_2025_04121503_東京Ｖ_神戸,2025-04-12 15:03:00,東京Ｖ,神戸,0,1,-0.1052,False,0.232,0.399,0.369,A,A,True,A,0.23010640000000002,0.3980532,0.3718404
第１０節第２日,j1_2025_04121505_Ｃ大阪_鹿島,2025-04-12 15:05:00,Ｃ大阪,鹿島,1,0,-0.1579,False,0.306,0.424,0.27,H,H,True,H,0.3031578,0.4225789,0.27426330000000004
第１０節第２日,j1_2025_04121603_京都_湘南,2025-04-12 16:03:00,京都,湘南,2,0,1.1579,True,0.352,0.405,0.243,H,H,True,H,0.37284219999999996,0.41542110000000004,0.2117367
第１０節第３日,j1_2025_04131403_町田_浦和,2025-04-13 14:03:00,町田,浦和,0,2,0.6842,True,0.327,0.416,0.257,H,A,False,H,0.3393156,0.42215779999999997,0.2385266
第１０節第３日,j1_2025_04131403_新潟_横浜FC,2025-04-13 14:03:00,新潟,横浜FC,0,0,0.1053,True,0.339,0.394,0.266,H,D,False,H,0.34123473933933934,0.3953420943943944,0.2634231662662663
第１１節第１日,j1_2025_04191403_新潟_京都,2025-04-19 14:03:00,新潟,京都,1,2,-1.0526,False,0.245,0.409,0.346,A,A,True,A,0.22605320000000004,0.3995266,0.37442020000000004
第１１節第２日,j1_2025_04201403_横浜FC_Ｇ大阪,2025-04-20 14:03:00,横浜FC,Ｇ大阪,1,1,0.1053,True,0.247,0.404,0.349,A,D,False,A,0.2488954,0.4049477,0.3461569
第１１節第２日,j1_2025_04201403_名古屋_広島,2025-04-20 14:03:00,名古屋,広島,2,1,-0.2632,False,0.231,0.425,0.344,A,H,False,A,0.2262624,0.4226312,0.3511064
第１１節第２日,j1_2025_04201403_神戸_町田,2025-04-20 14:03:00,神戸,町田,1,0,0.2632,True,0.298,0.422,0.28,H,H,True,H,0.3027376,0.4243688,0.2728936
第１１節第２日,j1_2025_04201403_岡山_鹿島,2025-04-20 14:03:00,岡山,鹿島,1,2,-0.421,False,0.275,0.408,0.317,A,A,True,A,0.26742200000000005,0.404211,0.328367
第１１節第２日,j1_2025_04201404_清水_福岡,2025-04-20 14:04:00,清水,福岡,3,1,0.2632,True,0.313,0.419,0.268,H,H,True,H,0.3177376,0.4213688,0.2608936
第１１節第２日,j1_2025_04201503_Ｃ大阪_FC東京,2025-04-20 15:03:00,Ｃ大阪,FC東京,1,1,0.421,True,0.321,0.426,0.253,H,D,False,H,0.328578,0.429789,0.24163300000000001
第１１節第２日,j1_2025_04201503_湘南_柏,2025-04-20 15:03:00,湘南,柏,0,1,-0.6842,False,0.252,0.409,0.339,A,A,True,A,0.2396844,0.4028422,0.35747340000000005
第１１節第２日,j1_2025_04201503_川崎Ｆ_東京Ｖ,2025-04-20 15:03:00,川崎Ｆ,東京Ｖ,0,0,0.7368,True,0.437,0.39,0.173,H,D,False,H,0.4502624,0.3966312,0.15310639999999998
第１１節第２日,j1_2025_04201603_浦和_横浜FM,2025-04-20 16:03:00,浦和,横浜FM,3,1,1.3158,True,0.349,0.405,0.246,H,H,True,H,0.37268439999999997,0.41684220000000005,0.21047339999999998
第１２節第１日,j1_2025_04161903_横浜FM_清水,2025-04-16 19:03:00,横浜FM,清水,2,3,0.3684,True,0.257,0.412,0.331,A,A,True,A,0.2636312,0.41531559999999995,0.32105320000000004
第１２節第１日,j1_2025_04161903_神戸_川崎Ｆ,2025-04-16 19:03:00,神戸,川崎Ｆ,2,1,0.421,True,0.275,0.427,0.298,A,H,False,A,0.282578,0.430789,0.28663299999999997
第１２節第２日,j1_2025_04251903_東京Ｖ_Ｃ大阪,2025-04-25 19:03:00,東京Ｖ,Ｃ大阪,1,0,0.2632,True,0.22,0.404,0.376,A,H,False,A,0.2247376,0.40636880000000003,0.3688936
第１２節第２日,j1_2025_04251903_町田_湘南,2025-04-25 19:03:00,町田,湘南,0,1,1.0,True,0.36,0.405,0.235,H,A,False,H,0.378,0.41400000000000003,0.208
第１２節第２日,j1_2025_04251903_京都_横浜FC,2025-04-25 19:03:00,京都,横浜FC,2,1,1.0526,True,0.414,0.393,0.193,H,H,True,H,0.43294679999999997,0.40247340000000004,0.1645798
第１２節第２日,j1_2025_04251903_福岡_岡山,2025-04-25 19:03:00,福岡,岡山,1,1,0.4211,True,0.341,0.406,0.252,H,D,False,H,0.34892114134134133,0.4101963064064064,0.24088255225225222
第１２節第２日,j1_2025_04251903_鹿島_名古屋,2025-04-25 19:03:00,鹿島,名古屋,1,0,1.5264,True,0.339,0.414,0.247,H,H,True,H,0.3664752,0.4277376,0.2057872
第１２節第２日,j1_2025_04251933_FC東京_Ｇ大阪,2025-04-25 19:33:00,FC東京,Ｇ大阪,3,0,0.4211,True,0.297,0.422,0.281,H,H,True,H,0.3045798,0.4257899,0.26963030000000004
第１２節第２日,j1_2025_04251933_浦和_広島,2025-04-25 19:33:00,浦和,広島,1,0,0.421,True,0.253,0.426,0.321,A,H,False,A,0.260578,0.429789,0.309633
第１２節第３日,j1_2025_04261403_柏_新潟,2025-04-26 14:03:00,柏,新潟,1,1,1.6842,True,0.392,0.404,0.204,H,D,False,H,0.42200000000000004,0.41900000000000004,0.15899999999999997
第１３節第１日,j1_2025_04291309_FC東京_清水,2025-04-29 13:09:00,FC東京,清水,0,2,0.4737,True,0.287,0.422,0.291,A,A,True,A,0.2955266,0.4262633,0.27821009999999996
第１３節第１日,j1_2025_04291403_広島_新潟,2025-04-29 14:03:00,広島,新潟,0,1,1.3158,True,0.397,0.411,0.192,H,A,False,H,0.4206844,0.4228422,0.15647339999999998
第１３節第１日,j1_2025_04291403_岡山_東京Ｖ,2025-04-29 14:03:00,岡山,東京Ｖ,0,1,0.4737,True,0.383,0.383,0.234,H,A,False,H,0.3915266,0.38726330000000003,0.22121010000000002
第１３節第１日,j1_2025_04291403_名古屋_柏,2025-04-29 14:03:00,名古屋,柏,1,2,-0.2632,False,0.253,0.419,0.328,A,A,True,A,0.2482624,0.4166312,0.3351064
第１３節第１日,j1_2025_04291403_横浜FC_鹿島,2025-04-29 14:03:00,横浜FC,鹿島,0,3,-0.5789,False,0.232,0.399,0.369,A,A,True,A,0.22157980000000002,0.3937899,0.3846303
第１３節第１日,j1_2025_04291503_Ｇ大阪_京都,2025-04-29 15:03:00,Ｇ大阪,京都,2,1,0.1053,True,0.276,0.421,0.303,A,H,False,A,0.2778954,0.4219477,0.3001569
第１３節第１日,j1_2025_04291503_Ｃ大阪_町田,2025-04-29 15:03:00,Ｃ大阪,町田,1,2,0.0,False,0.307,0.426,0.267,H,A,False,H,0.307,0.426,0.267
第１３節第１日,j1_2025_04291503_湘南_福岡,2025-04-29 15:03:00,湘南,福岡,0,0,0.0527,True,0.273,0.405,0.321,A,D,False,A,0.27422187327327335,0.4058797054054054,0.31989842132132135
第１３節第２日,j1_2025_05211903_川崎Ｆ_浦和,2025-05-21 19:03:00,川崎Ｆ,浦和,2,2,0.6842,True,0.335,0.421,0.244,H,D,False,H,0.3473156,0.4271578,0.2255266
